ID Pricing,Count of ID Pricing
 TLA_H3I_MOS-0000155_MLA_316_20170616Base_OMfalse,1
 TLA_H3I_MOS-0000155_MLA_457_20190930Base_OMfalse,1
 TLA_H3I_MOS-0000155_MLA_674_20181220Base_OMfalse,1
 TLA_H3I_MOS-0000228_MLA_316_20170616Base_OMfalse,1
 TLA_H3I_MOS-0000228_MLA_457_20190930Base_OMfalse,1
 TLA_H3I_MOS-0000228_MLA_674_20181220Base_OMfalse,1
 TLA_H3I_R1100021_CCSLA_NA_20180420Base_Basefalse,1
 TLA_H3I_R1700013_CCSLA_NA_20141215Base_Basefalse,1
 TLA_H3I_R1800046_CCSLA_NA_20100603Base_Basefalse,1
 TLA_H3I_R1800058_CCSLA_NA_20161107Base_Basefalse,1
 TLA_H3I_R1800069_CCSLA_NA_20171212Base_Basefalse,1
 TLA_H3I_R3100251_CCSLA_NA_20130531Base_Basefalse,1
 TLA_H3I_R3270349_PO_200068388_20201006Base_Basefalse,1
 TLA_IO_R3270244_BAUF_0285_20180520false,1
 TLA_IO_R3350236_BAUF_0381_20190902false,1
TLA_AXIS_E1200069_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E1200073_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200082_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E1200082_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200096_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200111_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200121_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200128_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E1200151_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E1200195_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200207_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1200213_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E1200383_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E1600098_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E1600098_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100001_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100018_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100019_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100030_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100037_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100055_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E3100055_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100068_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100103_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100224_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100287_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100361_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100389_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100447_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100451_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3100454_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3100473_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200015_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200038_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200044_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200045_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200057_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200059_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E3200059_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200061_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200063_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200081_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200087_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200088_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200091_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200093_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200102_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200125_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200141_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200152_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E3200152_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200166_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200178_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200181_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200186_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E3200186_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200187_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200189_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200235_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200248_NoA_1033_20210408Add_Generalfalse,1
TLA_AXIS_E3200248_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200256_NoA_1033_20210408Base_Basefalse,1
TLA_AXIS_E3200261_NoA_1033_20210408OM_OMfalse,1
TLA_AXIS_E3200281_NoA_1033_20210408OM_OMfalse,1
